lemma,pos,cefr
culture,noun,A2
cycle,verb,A2
cycling,noun,A2
daily,adv,A2
dark,adj,A2
dating,verb,A2
dead,noun,A2
Dear,name,A2
decided,verb,A2
definitely,adv,A2
delay,noun,A2
democratic,adj,A2
difficulty,noun,A2
dinner,noun,A2
directly,adv,A2
discuss,verb,A2
display,noun,A2
distance,noun,A2
distance,verb,A2
district,adj,A2
doctor,noun,A2
doctor,verb,A2
documents,verb,A2
download,noun,A2
Drama,name,A2
dressed,adjective,A2
driving,verb,A2
Dry,name,A2
dying,noun,A2
earth,name,A2
east,adjective,A2
East,name,A2
Edge,name,A2
effects,verb,A2
elected,noun,A2
elections,noun,A2
elements,noun,A2
emergency,noun,A2
ensure,verb,A2
entertainment,noun,A2
episode,noun,A2
essential,adj,A2
etc,phrase,A2
EU,noun,A2
everybody,pron,A2
evidence,verb,A2
exactly,intj,A2
exercise,noun,A2
express,adv,A2
extreme,noun,A2
ex,adj,A2
failed,adj,A2
fail,verb,A2
faith,adv,A2
fall,verb,A2
false,adv,A2
false,noun,A2
families,noun,A2
fashion,noun,A2
fast,intj,A2
favorite,adj,A2
federal,adj,A2
feels,noun,A2
feel,noun,A2
fifth,adj,A2
file,noun,A2
fired,verb,A2
fit,adj,A2
Fix,name,A2
flat,adj,A2
flea,noun,A2
foreign,adj,A2
forest,verb,A2
fortunately,adverb,A2
France,name,A2
Freedom,name,A2
French,adj,A2
fry,noun,A2
fully,adv,A2
gay,adj,A2
generation,noun,A2
German,noun,A2
glad,adj,A2
glove,noun,A2
golden,noun,A2
goods,verb,A2
grade,verb,A2
greedy,adjective,A2
green,intj,A2
groups,verb,A2
guilty,adj,A2
hair,verb,A2
happening,adj,A2
happening,noun,A2
happily,adverb,A2
harry,verb,A2
heads,verb,A2
helping,verb,A2
hero,noun,A2
Hey,name,A2
higher,adj,A2
higher,noun,A2
holy,intj,A2
honor,noun,A2
hoping,verb,A2
Horse,name,A2
horse,verb,A2
host,noun,A2
housing,verb,A2
however,adverb,A2
http,noun,A2
Humans,name,A2
ID,noun,A2
improve,verb,A2
Im,noun,A2
inc,adj,A2
indeed,adv,A2
independent,noun,A2
industrial,adj,A2
instant,adjective,A2
institute,adj,A2
interest,noun,A2
interview,verb,A2
Island,name,A2
island,noun,A2
Jesus,verb,A2
Joe,name,A2
joint,verb,A2
journey,noun,A2
jump,adv,A2
key,adj,A2
killing,noun,A2
kitchen,verb,A2
Korea,name,A2
lack,verb,A2
Lady,name,A2
landscape,noun,A2
larger,adj,A2
latest,noun,A2
laughing,noun,A2
laws,verb,A2
leading,adj,A2
Learned,name,A2
led,adj,A2
left-hand,adjective,A2
letter,verb,A2
lights,noun,A2
listed,adj,A2
listening,verb,A2
lives,verb,A2
local,adjective,A2
lord,verb,A2
los,noun,A2
lovely,noun,A2
Loves,name,A2
lying,noun,A2
magic,adjective,A2
magic,verb,A2
maintain,verb,A2
male,adj,A2
marry,verb,A2
Martin,name,A2
massive,noun,A2
Master,name,A2
master,verb,A2
material,noun,A2
message,noun,A2
midnight,noun,A2
miles,adv,A2
missed,verb,A2
mix,verb,A2
MM,name,A2
Mobile,name,A2
model,adj,A2
modern,noun,A2
Mom,name,A2
Monday,noun,A2
most,pronoun,A2
multiple,adj,A2
multiple,noun,A2
murder,verb,A2
Muslim,name,A2
named,verb,A2
natural,adjective,A2
net,adj,A2
newspaper,noun,A2
normal,adj,A2
north,adjective,A2
noted,verb,A2
Note,name,A2
October,verb,A2
officers,noun,A2
Officer,name,A2
officials,noun,A2
okay,adv,A2
one,pronoun,A2
onto,prep,A2
opened,adj,A2
outside,preposition,A2
owners,noun,A2
page,verb,A2
pain,noun,A2
particular,noun,A2
pass,noun,A2
Paul,name,A2
percent,noun,A2
performance,noun,A2
perfume,noun,A2
photos,noun,A2
pity,noun,A2
planned,verb,A2
plans,noun,A2
plants,verb,A2
plus,verb,A2
PM,phrase,A2
police station,noun,A2
policy,verb,A2
powerful,adj,A2
powerful,adjective,A2
powerful,adv,A2
practice,noun,A2
prepared,adj,A2
present,adj,A2
press,noun,A2
PRE,name,A2
prince,noun,A2
Prior,name,A2
probably,adverb,A2
Profit,name,A2
protection,noun,A2
pro,noun,A2
pure,adj,A2
purple,adjective,A2
Push,name,A2
push,noun,A2
quiet,verb,A2
race,verb,A2
rather,adverb,A2
reaction,noun,A2
received,verb,A2
receive,noun,A2
reduced,adj,A2
reduce,verb,A2
reference,noun,A2
regarding,prep,A2
regional,noun,A2
regret,verb,A2
remaining,verb,A2
remains,verb,A2
removed,adj,A2
reported,verb,A2
represent,verb,A2
request,verb,A2
requirements,noun,A2
Reserve,name,A2
resources,noun,A2
responsible,adj,A2
result,verb,A2
Richard,name,A2
Rise,name,A2
rob,verb,A2
Rock,name,A2
rose,adj,A2
round,noun,A2
round,verb,A2
row,noun,A2
Rule,name,A2
runner,noun,A2
Russia,name,A2
safe,adj,A2
safe,verb,A2
Sam,name,A2
sat,noun,A2
saved,verb,A2
scenery,noun,A2
schedule,noun,A2
Search,name,A2
seconds,verb,A2
Secretary,name,A2
secretary,noun,A2
seeing,adj,A2
sell,verb,A2
Send,name,A2
September,name,A2
sets,noun,A2
seven,num,A2
shade,noun,A2
shares,noun,A2
ship,noun,A2
shirt,verb,A2
Shoes,name,A2
shown,verb,A2
sightseeing,noun,A2
significant,noun,A2
sitting room,noun,A2
sitting,adj,A2
smaller,adj,A2
smoothly,adverb,A2
snow,noun,A2
someday,adverb,A2
sorry,intj,A2
soul,noun,A2
sound,intj,A2
Spanish,name,A2
speed,verb,A2
spent,verb,A2
splash,verb,A2
split,noun,A2
split,verb,A2
staff,verb,A2
Star,name,A2
statistics,noun,A2
step,noun,A2
Steve,name,A2
straight,adv,A2
strange,adj,A2
streets,noun,A2
stress,verb,A2
studies,verb,A2
style,noun,A2
Success,name,A2
suddenly,adv,A2
suggested,verb,A2
suit,noun,A2
Sunday,noun,A2
superlative,noun,A2
super,adj,A2
sweet,noun,A2
sweet,verb,A2
swimming costume,noun,A2
table,verb,A2
tea,adj,A2
temperature,noun,A2
terms,noun,A2
Tests,noun,A2
thousands,noun,A2
throw,noun,A2
throw,verb,A2
Thursday,adv,A2
tickets,verb,A2
tired,verb,A2
Tony,noun,A2
tour,noun,A2
trading,verb,A2
traditional,adj,A2
tried,verb,A2
trouble,noun,A2
trump,verb,A2
trust,adj,A2
trust,verb,A2
turns,noun,A2
UK,name,A2
understanding,adj,A2
unhealthy,adjective,A2
union,verb,A2
un,noun,A2
upper,noun,A2
used,adjective,A2
usually,adv,A2
value,noun,A2
vice,noun,A2
vice,verb,A2
visit,verb,A2
vote,verb,A2
Wake,name,A2
wall,verb,A2
web,name,A2
western,adj,A2
Western,name,A2
whatever,adj,A2
Williams,name,A2
wind,verb,A2
Wine,name,A2
Winning,name,A2
winning,verb,A2
wood,adj,A2
workers,noun,A2
worse,adv,A2
write,noun,A2
zone,noun,A2
abandoned,verb,B1
ABC,adj,B1
abused,verb,B1
accidental,adjective,B1
acquisition,noun,B1
activists,noun,B1
AC,adj,B1
addressed,adj,B1
adds,noun,B1
adequate,verb,B1
admitted,adj,B1
advance,verb,B1
advocate,noun,B1
ages,noun,B1
agreements,noun,B1
aimed,verb,B1
Alabama,name,B1
Albert,noun,B1
allowance,noun,B1
alright,intj,B1
alternate,adj,B1
alternate,verb,B1
anna,noun,B1
announcement,noun,B1
Anthony,name,B1
anyhow,adverb,B1
apologize,verb,B1
appearing,noun,B1
Arab,adj,B1
archives,verb,B1
Argue,name,B1
arrival,noun,B1
arrives,verb,B1
Arrow,name,B1
aside,adj,B1
aside,adverb,B1
assisted,verb,B1
assured,verb,B1
Atlantic,adjective,B1
attacked,verb,B1
attended,verb,B1
attraction,noun,B1
awkward,adjective,B1
backing,noun,B1
backwards,adv,B1
bags,intj,B1
baker,noun,B1
balls,adv,B1
barriers,noun,B1
basket,verb,B1
BAT,name,B1
bat,verb,B1
bearing,adj,B1
beds,noun,B1
begun,verb,B1
Beg,name,B1
beg,noun,B1
belongs,verb,B1
beloved,noun,B1
beneath,prep,B1
Berlin,name,B1
bible,noun,B1
bitter,adj,B1
blacks,verb,B1
bleed,verb,B1
Blew,name,B1
Blow,name,B1
bond,verb,B1
bone,adv,B1
boots,noun,B1
Bout,name,B1
bout,prep,B1
bo,intj,B1
Bo,name,B1
bracelet,noun,B1
Brazilian,noun,B1
breach,verb,B1
Brick,name,B1
broad,adj,B1
bugs,adj,B1
burden,noun,B1
burning,noun,B1
Burns,name,B1
calculated,adj,B1
calm,verb,B1
Cameras,name,B1
Cameron,name,B1
cannon,noun,B1
capacity,noun,B1
Capitol,name,B1
captured,adj,B1
cargo,verb,B1
Catholic,name,B1
census,verb,B1
cents,noun,B1
centuries,noun,B1
Championship,name,B1
characteristic,noun,B1
chemicals,noun,B1
Chick,name,B1
christianity,noun,B1
civic,adj,B1
civilian,adj,B1
classical,noun,B1
classification,noun,B1
classify,verb,B1
Cleveland,name,B1
Clinton,name,B1
closing,adj,B1
clue,noun,B1
Coastal,name,B1
Coke,name,B1
combat,verb,B1
comic,adj,B1
comic,noun,B1
commerce,noun,B1
commonly,adverb,B1
companion,verb,B1
complaints,noun,B1
concerns,verb,B1
concrete,adj,B1
concrete,verb,B1
confirmation,noun,B1
confusing,verb,B1
congratulate,verb,B1
consideration,noun,B1
console,noun,B1
conspiracy,verb,B1
consultant,noun,B1
consultation,noun,B1
consumer,noun,B1
continuing,adj,B1
controls,verb,B1
convey,verb,B1
corn,noun,B1
cos,det,B1
cos,noun,B1
couch,verb,B1
counter,verb,B1
coup,verb,B1
courses,noun,B1
Cowboys,name,B1
Creek,name,B1
critics,noun,B1
crossing,noun,B1
Cruise,name,B1
CT,adj,B1
CT,verb,B1
cultivate,verb,B1
CUM,name,B1
Cure,name,B1
custom,noun,B1
dated,verb,B1
dazzle,noun,B1
DC,name,B1
declaration,noun,B1
defeated,verb,B1
defensive,noun,B1
delayed,verb,B1
delete,noun,B1
delighted,adjective,B1
delivering,noun,B1
delivering,verb,B1
demanding,noun,B1
dental,noun,B1
den,noun,B1
depends,verb,B1
desert,noun,B1
designers,noun,B1
desperate,noun,B1
destination,noun,B1
destroy,verb,B1
detail,noun,B1
detected,adj,B1
diagnosed,verb,B1
didnt,contraction,B1
Diego,name,B1
dies,verb,B1
dimensional,adj,B1
diplomatic,noun,B1
dip,noun,B1
dirty,adj,B1
dirty,verb,B1
disability,noun,B1
disappointing,adj,B1
disappointment,noun,B1
disappoint,verb,B1
discount,verb,B1
dismissed,adj,B1
disorders,noun,B1
distinguished,verb,B1
distributed,verb,B1
districts,verb,B1
dive,verb,B1
divine,adjective,B1
divisions,noun,B1
DNA,verb,B1
doc,noun,B1
dominant,adj,B1
dominated,verb,B1
dozen,noun,B1
Dragon,name,B1
drawing,verb,B1
drew,verb,B1
dried,verb,B1
eagles,verb,B1
earache,noun,B1
ears,noun,B1
Eddie,noun,B1
effectively,adv,B1
efficiency,noun,B1
embarrassment,noun,B1
empire,adj,B1
enhance,verb,B1
enthusiast,noun,B1
equation,noun,B1
estimate,verb,B1
eternal,adj,B1
exchange,verb,B1
exclusive,adj,B1
exhibition,verb,B1
exhibit,noun,B1
expanding,verb,B1
experiments,noun,B1
explanation,noun,B1
explore,noun,B1
extraordinary,noun,B1
face to face,adverb,B1
facial,noun,B1
fears,noun,B1
FEB,noun,B1
festive,adjective,B1
fiction,noun,B1
fig,verb,B1
filling,adj,B1
filling,verb,B1
filmed,adj,B1
fingers,verb,B1
flame,adj,B1
Flash,name,B1
flat,adjective,B1
flesh,noun,B1
flour,noun,B1
folk,adj,B1
forcing,verb,B1
Ford,name,B1
ford,verb,B1
formula,noun,B1
Fort,name,B1
Franklin,name,B1
freaking,adv,B1
fried,verb,B1
FR,adv,B1
FT,adv,B1
ft,noun,B1
funeral,noun,B1
galaxy,noun,B1
gallery,noun,B1
gallery,verb,B1
garage,verb,B1
gates,verb,B1
gender,noun,B1
genius,noun,B1
genre,noun,B1
genuine,adj,B1
Gen,noun,B1
geology,noun,B1
Georgia,name,B1
gods,noun,B1
goodbye,intj,B1
Grace,name,B1
graduate,noun,B1
graduation,noun,B1
graham,noun,B1
Grandma,name,B1
grocery,noun,B1
guitar,verb,B1
habitat,noun,B1
habit,noun,B1
Halfway,name,B1
handling,noun,B1
happily,adv,B1
harbor,verb,B1
hated,adj,B1
ha,verb,B1
hearted,adjective,B1
hitting,verb,B1
hood,adj,B1
hopeful,adjective,B1
horror,noun,B1
hospitals,noun,B1
Humble,name,B1
Hunter,name,B1
hunter,noun,B1
hype,adj,B1
illness,noun,B1
immigration,noun,B1
Independence,name,B1
indicating,verb,B1
Indie,name,B1
indie,noun,B1
induced,verb,B1
industry,noun,B1
injuries,noun,B1
inn,verb,B1
input,noun,B1
inquiry,noun,B1
insight,noun,B1
inspiring,adj,B1
instant,adv,B1
insurance,noun,B1
integrity,noun,B1
invite,verb,B1
irritate,verb,B1
Islamic,noun,B1
Islam,name,B1
jacket,verb,B1
Jacob,noun,B1
Jamie,name,B1
jan,noun,B1
jeans,noun,B1
Jefferson,name,B1
jerry,adj,B1
Jerry,name,B1
Jimmy,name,B1
journalism,noun,B1
Judges,name,B1
judging,adj,B1
junior,verb,B1
justified,adj,B1
Kansas,name,B1
Kate,name,B1
kate,noun,B1
Kelly,name,B1
Kidney,name,B1
kinda,noun,B1
Kings,name,B1
knit,verb,B1
laying,verb,B1
leak,noun,B1
Lean,name,B1
lecture,noun,B1
liquid,adjective,B1
liver,adj,B1
locked,adj,B1
Logan,name,B1
log,verb,B1
lords,noun,B1
lottery,noun,B1
LO,name,B1
Lucas,verb,B1
magician,noun,B1
makeup,verb,B1
maps,noun,B1
margin,verb,B1
marked,adj,B1
marks,verb,B1
mar,noun,B1
matching,noun,B1
Mate,name,B1
mathematics,noun,B1
mature,adj,B1
meanwhile,adverb,B1
measured,verb,B1
memorial,adj,B1
mentally,adv,B1
mercury,noun,B1
Michelle,name,B1
midnight,adj,B1
minor,adjective,B1
Minus,name,B1
moderate,adj,B1
Montana,name,B1
Moore,name,B1
mosquito,noun,B1
motors,noun,B1
MO,noun,B1
Nancy,name,B1
nasty,adjective,B1
nationwide,adj,B1
NBC,noun,B1
NC,phrase,B1
networks,verb,B1
nevertheless,adv,B1
nights,noun,B1
noisily,adverb,B1
notable,adj,B1
noting,noun,B1
nov,noun,B1
nut,verb,B1
objective,noun,B1
observed,verb,B1
Oliver,adj,B1
opponent,adj,B1
oral,noun,B1
outer,noun,B1
outlets,noun,B1
own,verb,B1
Pacific,name,B1
pale,noun,B1
palmer,noun,B1
past,adjective,B1
Patience,name,B1
Patrick,name,B1
PA,adj,B1
PC,name,B1
peer,noun,B1
penis,noun,B1
perceived,verb,B1
permitted,adj,B1
pet,adj,B1
Phil,noun,B1
physics,verb,B1
pick,noun,B1
pic,noun,B1
pills,noun,B1
pill,noun,B1
pilots,noun,B1
pine,verb,B1
pipeline,verb,B1
Pizza,name,B1
placing,noun,B1
planted,verb,B1
plug,noun,B1
poems,noun,B1
polish,verb,B1
politicians,noun,B1
pollutant,noun,B1
Portal,name,B1
possibility,noun,B1
pot,verb,B1
pound,verb,B1
Pray,name,B1
precision,noun,B1
preferred,noun,B1
pregnant,adj,B1
premiere,verb,B1
preposition,noun,B1
pretending,noun,B1
pretend,noun,B1
priority,noun,B1
proceedings,noun,B1
proceeds,verb,B1
profession,noun,B1
profits,noun,B1
profits,verb,B1
progressive,adj,B1
promised,adj,B1
promote,verb,B1
proportion,noun,B1
protective,noun,B1
proven,adj,B1
proven,verb,B1
publicly,adverb,B1
punch,noun,B1
qualified,verb,B1
questioning,noun,B1
quietly,adv,B1
railroad,noun,B1
rainfall,noun,B1
ranch,noun,B1
rangers,noun,B1
ranges,verb,B1
rapid,adj,B1
ratio,noun,B1
Rat,name,B1
rat,noun,B1
reasoning,noun,B1
rebels,verb,B1
reception,noun,B1
recommendations,noun,B1
recommended,noun,B1
recycling,noun,B1
referring,noun,B1
reflected,adj,B1
reforms,noun,B1
relatives,noun,B1
relative,adj,B1
reliable,adjective,B1
remembered,verb,B1
rent,verb,B1
repair,verb,B1
repeatedly,adv,B1
representing,noun,B1
rescue,verb,B1
reserved,adj,B1
reserve,verb,B1
resignation,noun,B1
resigned,adj,B1
retain,noun,B1
returning,noun,B1
reviews,verb,B1
Revolutionary,name,B1
riddle,verb,B1
rides,noun,B1
rifle,noun,B1
Rises,name,B1
rogers,noun,B1
romance,verb,B1
roman,noun,B1
ross,verb,B1
roster,noun,B1
roughly,adv,B1
Rounds,name,B1
rounds,noun,B1
ruled,verb,B1
ruling,noun,B1
rush,verb,B1
ruth,noun,B1
sacrifice,noun,B1
salad,noun,B1
salmon,noun,B1
Santa,name,B1
satellite,noun,B1
Saudi,noun,B1
savage,verb,B1
scholarship,noun,B1
SC,noun,B1
Seal,name,B1
searching,adj,B1
searching,noun,B1
seats,noun,B1
seaweed,noun,B1
sectors,noun,B1
securities,noun,B1
settings,noun,B1
sex,noun,B1
shallow,adj,B1
shelter,verb,B1
ships,verb,B1
shitty,noun,B1
shocking,adj,B1
Shooter,name,B1
shoulder,verb,B1
shout,verb,B1
sigh,noun,B1
similarly,adv,B1
Singer,name,B1
Sink,name,B1
sisters,verb,B1
sized,verb,B1
skilled,adj,B1
sleeping,adj,B1
slip,verb,B1
slot,noun,B1
smells,verb,B1
soil,verb,B1
solutions,verb,B1
solve,noun,B1
someday,adv,B1
southwest,adj,B1
southwest,noun,B1
specially,adv,B1
Spider,name,B1
spider,noun,B1
spreading,verb,B1
stack,verb,B1
stakes,noun,B1
staring,adj,B1
staring,noun,B1
static,adj,B1
stations,noun,B1
stations,verb,B1
statistical,adj,B1
statue,verb,B1
stayed,verb,B1
stay,noun,B1
steady,intj,B1
steady,particle,B1
stepped,adj,B1
stepped,verb,B1
steven,noun,B1
stones,verb,B1
stood,verb,B1
strain,verb,B1
strikes,verb,B1
striking,adj,B1
string,noun,B1
stripe,noun,B1
struck,verb,B1
struggled,verb,B1
styles,noun,B1
suffer,verb,B1
sum,verb,B1
supplied,verb,B1
supporter,noun,B1
survivor,noun,B1
swing,verb,B1
sword,noun,B1
Syrian,adj,B1
systematic,adjective,B1
tables,verb,B1
tan,adj,B1
tear,noun,B1
teenager,noun,B1
temporarily,adv,B1
tend,verb,B1
tested,verb,B1
thou,noun,B1
thread,verb,B1
threatened,verb,B1
threatening,noun,B1
tick,noun,B1
tips,noun,B1
Tip,name,B1
tobacco,verb,B1
todd,noun,B1
tone,noun,B1
tone,verb,B1
traditionally,adverb,B1
tragic,adj,B1
transaction,noun,B1
transferred,verb,B1
transform,verb,B1
trap,verb,B1
trash,noun,B1
trauma,noun,B1
traveled,verb,B1
treating,noun,B1
trials,noun,B1
Tribes,name,B1
Tube,name,B1
tune,noun,B1
turning,noun,B1
twelve,num,B1
twist,noun,B1
uh,article,B1
unfortunate,adjective,B1
uniform,noun,B1
unknown,verb,B1
unlike,adj,B1
unnecessary,adj,B1
upgrade,noun,B1
urge,noun,B1
vampire,verb,B1
venture,verb,B1
victims,verb,B1
viewed,verb,B1
violently,adverb,B1
violent,verb,B1
visiting,verb,B1
voltage,noun,B1
voluntary,adv,B1
wages,verb,B1
wage,noun,B1
Walks,name,B1
warehouse,noun,B1
waste,noun,B1
wa,intj,B1
Wednesday,adv,B1
Wednesday,name,B1
Welsh,name,B1
wildlife,noun,B1
wings,noun,B1
wishes,verb,B1
witch,noun,B1
witnesses,noun,B1
Wolf,name,B1
wondering,verb,B1
woods,verb,B1
worrying,verb,B1
Xbox,verb,B1
xi,noun,B1
yard,noun,B1
yield,noun,B1
yo,verb,B1
