version,plan,persona,days,learned,active,ai_calls,cost,eff,max_due,qbl,avg_late,median_late,p90_late,max_late,rejected,tiers,sessions,session_size,avg_stability,median_stability,avg_difficulty,avg_retrievability,median_retrievability,desired_retention,enable_continuous_mastery
v5.0 DSR-lite,gold,fluctuating,90,209,228,273,0.1638,1275.9,51,5,0.9,1,2,5,0,{},4,7,23.15,24.76,4.08,0.95,0.95,,True
v5.0 DSR-lite,gold,fluctuating,180,346,377,456,0.2736,1264.6,80,8,1.1,1,3,6,0,{},4,7,44.81,46.74,3.9,0.959,0.96,,True
v5.0 DSR-lite,gold,fluctuating,360,606,616,773,0.4638,1306.6,135,8,1.6,1,4,11,0,{},4,7,90.22,87.88,3.71,0.956,0.96,,True
v5.0 DSR-lite,gold,fluctuating,540,830,871,1113,0.6678,1242.9,135,14,1.6,1,4,11,0,{},4,7,131.11,128.77,3.6,0.942,0.95,,True
v5.0 DSR-lite,gold,fluctuating,720,1083,1100,1427,0.8562,1264.9,135,14,1.6,1,4,11,0,{},4,7,176.87,171.8,3.53,0.954,0.95,,True
v5.0 DSR-lite,gold,lazy,90,86,114,124,0.0744,1155.9,90,2,2.7,2,7,10,0,{},4,7,12.21,12.09,5.46,0.848,0.87,,True
v5.0 DSR-lite,gold,lazy,180,166,193,215,0.129,1286.8,94,2,3.0,2,7,13,0,{},4,7,28.45,25.43,5.53,0.903,0.92,,True
v5.0 DSR-lite,gold,lazy,360,291,298,339,0.2034,1430.7,94,2,3.2,3,7,13,0,{},4,7,68.44,67.04,5.55,0.953,0.95,,True
v5.0 DSR-lite,gold,lazy,540,379,396,458,0.2748,1379.2,126,2,4.0,3,9,20,0,{},4,7,101.78,103.6,5.64,0.937,0.95,,True
v5.0 DSR-lite,gold,lazy,720,489,502,582,0.3492,1400.3,126,3,3.9,3,9,20,0,{},4,7,132.24,128.37,5.64,0.945,0.94,,True
v5.1 DSR-mid,silver,eager,90,306,424,517,0.3102,986.5,17,7,0.2,0,1,2,0,"{'در حال یادگیری': 15, 'آشنا': 103, 'یادگرفته\u200cشده': 24, 'تثبیت\u200cشده': 282}",3,5,,,2.27,,,,
v5.1 DSR-mid,silver,eager,180,673,730,938,0.5628,1195.8,24,16,0.3,0,1,2,0,"{'در حال یادگیری': 3, 'آشنا': 54, 'یادگرفته\u200cشده': 29, 'تثبیت\u200cشده': 644}",3,5,,,2.41,,,,
v5.1 DSR-mid,silver,eager,360,1265,1327,1728,1.0368,1220.1,36,25,0.3,0,1,2,0,"{'در حال یادگیری': 1, 'آشنا': 61, 'یادگرفته\u200cشده': 24, 'تثبیت\u200cشده': 1241}",3,5,,,2.48,,,,
v5.1 DSR-mid,silver,eager,540,1880,1958,2541,1.5246,1233.1,36,25,0.3,0,1,3,0,"{'در حال یادگیری': 19, 'آشنا': 59, 'یادگرفته\u200cشده': 33, 'تثبیت\u200cشده': 1847}",3,5,,,2.52,,,,
v5.1 DSR-mid,silver,eager,720,2440,2482,3273,1.9638,1242.5,36,30,0.3,0,1,3,0,"{'در حال یادگیری': 14, 'آشنا': 28, 'یادگرفته\u200cشده': 27, 'تثبیت\u200cشده': 2413}",3,5,,,2.58,,,,
v5.1 DSR-mid,silver,average,90,207,255,294,0.1764,1173.5,20,2,0.5,0,2,3,0,"{'در حال یادگیری': 0, 'آشنا': 48, 'یادگرفته\u200cشده': 68, 'تثبیت\u200cشده': 139}",3,5,,,3.2,,,,
v5.1 DSR-mid,silver,average,180,433,489,591,0.3546,1221.1,23,2,0.5,0,2,5,0,"{'در حال یادگیری': 0, 'آشنا': 56, 'یادگرفته\u200cشده': 73, 'تثبیت\u200cشده': 360}",3,5,,,3.34,,,,
v5.1 DSR-mid,silver,average,360,893,954,1164,0.6984,1278.6,33,4,0.5,0,2,5,0,"{'در حال یادگیری': 7, 'آشنا': 54, 'یادگرفته\u200cشده': 67, 'تثبیت\u200cشده': 826}",3,5,,,3.58,,,,
v5.1 DSR-mid,silver,average,540,1306,1365,1681,1.0086,1294.9,37,4,0.5,0,2,5,0,"{'در حال یادگیری': 10, 'آشنا': 49, 'یادگرفته\u200cشده': 47, 'تثبیت\u200cشده': 1259}",3,5,,,3.71,,,,
v5.1 DSR-mid,silver,average,720,1679,1732,2158,1.2948,1296.7,44,9,0.6,0,2,7,0,"{'در حال یادگیری': 5, 'آشنا': 48, 'یادگرفته\u200cشده': 44, 'تثبیت\u200cشده': 1635}",3,5,,,3.81,,,,
v5.1 DSR-mid,silver,fluctuating,90,204,259,300,0.18,1133.3,17,1,0.7,0,3,6,0,"{'در حال یادگیری': 6, 'آشنا': 49, 'یادگرفته\u200cشده': 57, 'تثبیت\u200cشده': 147}",3,5,,,2.95,,,,
v5.1 DSR-mid,silver,fluctuating,180,426,468,555,0.333,1279.3,30,3,0.7,0,3,6,0,"{'در حال یادگیری': 8, 'آشنا': 34, 'یادگرفته\u200cشده': 52, 'تثبیت\u200cشده': 374}",3,5,,,3.19,,,,
v5.1 DSR-mid,silver,fluctuating,360,704,756,911,0.5466,1288.0,51,6,1.2,0,4,12,0,"{'در حال یادگیری': 8, 'آشنا': 44, 'یادگرفته\u200cشده': 37, 'تثبیت\u200cشده': 667}",3,5,,,3.59,,,,
v5.1 DSR-mid,silver,fluctuating,540,1090,1131,1366,0.8196,1329.9,51,7,1.1,0,3,12,0,"{'در حال یادگیری': 6, 'آشنا': 35, 'یادگرفته\u200cشده': 48, 'تثبیت\u200cشده': 1042}",3,5,,,3.7,,,,
v5.1 DSR-mid,silver,fluctuating,720,1419,1451,1775,1.065,1332.4,51,7,1.1,0,3,12,0,"{'در حال یادگیری': 6, 'آشنا': 26, 'یادگرفته\u200cشده': 53, 'تثبیت\u200cشده': 1366}",3,5,,,3.88,,,,
v5.1 DSR-mid,silver,lazy,90,113,141,145,0.087,1298.9,25,1,2.2,1,5,9,0,"{'در حال یادگیری': 5, 'آشنا': 23, 'یادگرفته\u200cشده': 75, 'تثبیت\u200cشده': 38}",3,5,,,4.4,,,,
v5.1 DSR-mid,silver,lazy,180,203,237,251,0.1506,1347.9,25,1,2.0,1,5,9,0,"{'در حال یادگیری': 10, 'آشنا': 24, 'یادگرفته\u200cشده': 49, 'تثبیت\u200cشده': 154}",3,5,,,4.87,,,,
v5.1 DSR-mid,silver,lazy,360,367,397,424,0.2544,1442.6,37,1,2.8,2,7,15,0,"{'در حال یادگیری': 10, 'آشنا': 20, 'یادگرفته\u200cشده': 41, 'تثبیت\u200cشده': 326}",3,5,,,5.2,,,,
v5.1 DSR-mid,silver,lazy,540,532,542,588,0.3528,1507.9,39,2,2.8,2,7,15,0,"{'در حال یادگیری': 2, 'آشنا': 8, 'یادگرفته\u200cشده': 29, 'تثبیت\u200cشده': 503}",3,5,,,5.5,,,,
v5.1 DSR-mid,silver,lazy,720,705,755,829,0.4974,1417.4,42,2,2.6,2,6,15,0,"{'در حال یادگیری': 10, 'آشنا': 40, 'یادگرفته\u200cشده': 49, 'تثبیت\u200cشده': 656}",3,5,,,5.53,,,,
v5.1 DSR-mid,gold,eager,90,575,751,854,0.5124,1122.2,30,7,0.2,0,1,2,0,"{'در حال یادگیری': 9, 'آشنا': 167, 'یادگرفته\u200cشده': 50, 'تثبیت\u200cشده': 525}",4,7,,,2.29,,,,
v5.1 DSR-mid,gold,eager,180,1190,1326,1536,0.9216,1291.2,43,20,0.2,0,1,2,0,"{'در حال یادگیری': 0, 'آشنا': 136, 'یادگرفته\u200cشده': 49, 'تثبیت\u200cشده': 1141}",4,7,,,2.4,,,,
v5.1 DSR-mid,gold,eager,360,2243,2400,2809,1.6854,1330.8,53,21,0.3,0,1,3,0,"{'در حال یادگیری': 6, 'آشنا': 151, 'یادگرفته\u200cشده': 55, 'تثبیت\u200cشده': 2188}",4,7,,,2.52,,,,
v5.1 DSR-mid,gold,eager,540,3347,3505,4113,2.4678,1356.3,91,21,0.3,0,1,3,0,"{'در حال یادگیری': 11, 'آشنا': 147, 'یادگرفته\u200cشده': 64, 'تثبیت\u200cشده': 3283}",4,7,,,2.58,,,,
v5.1 DSR-mid,gold,eager,720,4300,4417,5207,3.1242,1376.4,127,40,0.4,0,1,5,0,"{'در حال یادگیری': 20, 'آشنا': 97, 'یادگرفته\u200cشده': 36, 'تثبیت\u200cشده': 4264}",4,7,,,2.63,,,,
v5.1 DSR-mid,gold,average,90,390,564,614,0.3684,1058.6,50,1,0.7,0,2,4,0,"{'در حال یادگیری': 26, 'آشنا': 148, 'یادگرفته\u200cشده': 118, 'تثبیت\u200cشده': 272}",4,7,,,2.95,,,,
v5.1 DSR-mid,gold,average,180,792,924,1018,0.6108,1296.7,70,4,0.8,0,2,5,0,"{'در حال یادگیری': 19, 'آشنا': 113, 'یادگرفته\u200cشده': 118, 'تثبیت\u200cشده': 674}",4,7,,,3.33,,,,
v5.1 DSR-mid,gold,average,360,1614,1700,1886,1.1316,1426.3,104,5,0.8,0,2,5,0,"{'در حال یادگیری': 0, 'آشنا': 86, 'یادگرفته\u200cشده': 121, 'تثبیت\u200cشده': 1493}",4,7,,,3.58,,,,
v5.1 DSR-mid,gold,average,540,2351,2481,2769,1.6614,1415.1,104,5,0.8,0,2,7,0,"{'در حال یادگیری': 22, 'آشنا': 108, 'یادگرفته\u200cشده': 111, 'تثبیت\u200cشده': 2240}",4,7,,,3.67,,,,
v5.1 DSR-mid,gold,average,720,3054,3138,3517,2.1102,1447.3,104,5,0.8,0,2,7,0,"{'در حال یادگیری': 1, 'آشنا': 83, 'یادگرفته\u200cشده': 89, 'تثبیت\u200cشده': 2965}",4,7,,,3.84,,,,
v5.1 DSR-mid,gold,fluctuating,90,400,486,520,0.312,1282.1,34,1,0.7,0,3,7,0,"{'در حال یادگیری': 25, 'آشنا': 61, 'یادگرفته\u200cشده': 146, 'تثبیت\u200cشده': 254}",4,7,,,3.13,,,,
v5.1 DSR-mid,gold,fluctuating,180,755,852,936,0.5616,1344.4,36,3,0.7,0,2,7,0,"{'در حال یادگیری': 20, 'آشنا': 77, 'یادگرفته\u200cشده': 114, 'تثبیت\u200cشده': 641}",4,7,,,3.41,,,,
v5.1 DSR-mid,gold,fluctuating,360,1397,1498,1659,0.9954,1403.5,73,7,1.0,0,3,9,0,"{'در حال یادگیری': 12, 'آشنا': 89, 'یادگرفته\u200cشده': 87, 'تثبیت\u200cشده': 1310}",4,7,,,3.61,,,,
v5.1 DSR-mid,gold,fluctuating,540,2067,2184,2419,1.4514,1424.1,101,7,1.1,0,3,9,0,"{'در حال یادگیری': 2, 'آشنا': 115, 'یادگرفته\u200cشده': 103, 'تثبیت\u200cشده': 1964}",4,7,,,3.72,,,,
v5.1 DSR-mid,gold,fluctuating,720,2773,2813,3113,1.8678,1484.6,101,7,1.1,0,3,9,0,"{'در حال یادگیری': 14, 'آشنا': 26, 'یادگرفته\u200cشده': 125, 'تثبیت\u200cشده': 2648}",4,7,,,3.87,,,,
v5.1 DSR-mid,gold,lazy,90,195,248,257,0.1542,1264.6,55,1,2.2,1,6,9,0,"{'در حال یادگیری': 5, 'آشنا': 48, 'یادگرفته\u200cشده': 106, 'تثبیت\u200cشده': 89}",4,7,,,4.08,,,,
v5.1 DSR-mid,gold,lazy,180,493,570,592,0.3552,1388.0,55,2,1.9,1,5,13,0,"{'در حال یادگیری': 25, 'آشنا': 52, 'یادگرفته\u200cشده': 138, 'تثبیت\u200cشده': 355}",4,7,,,4.51,,,,
v5.1 DSR-mid,gold,lazy,360,837,893,935,0.561,1492.0,95,2,2.6,2,6,14,0,"{'در حال یادگیری': 0, 'آشنا': 56, 'یادگرفته\u200cشده': 74, 'تثبیت\u200cشده': 763}",4,7,,,5.12,,,,
v5.1 DSR-mid,gold,lazy,540,1123,1181,1243,0.7458,1505.8,95,2,2.9,2,7,14,0,"{'در حال یادگیری': 7, 'آشنا': 51, 'یادگرفته\u200cشده': 49, 'تثبیت\u200cشده': 1074}",4,7,,,5.37,,,,
v5.1 DSR-mid,gold,lazy,720,1452,1526,1606,0.9636,1506.8,95,2,2.7,2,7,14,0,"{'در حال یادگیری': 14, 'آشنا': 60, 'یادگرفته\u200cشده': 95, 'تثبیت\u200cشده': 1357}",4,7,,,5.43,,,,
v5.2 FSRS-6 Full,silver,eager,90,279,440,552,0.3312,842.4,22,6,0.2,0,1,3,0,"{'تثبیت\u200cشده': 232, 'یادگرفته\u200cشده': 47, 'آشنا': 144, 'در حال یادگیری': 17}",3,5,64.95,98.09,2.46,0.937,0.95,0.85,
v5.2 FSRS-6 Full,silver,eager,180,657,781,980,0.588,1117.3,22,13,0.2,0,1,3,0,"{'تثبیت\u200cشده': 601, 'یادگرفته\u200cشده': 56, 'آشنا': 105, 'در حال یادگیری': 19}",3,5,87.42,98.09,2.59,0.922,0.92,0.85,
v5.2 FSRS-6 Full,silver,eager,360,1235,1375,1780,1.068,1156.4,31,26,0.3,0,1,3,0,"{'تثبیت\u200cشده': 1195, 'یادگرفته\u200cشده': 40, 'آشنا': 118, 'در حال یادگیری': 22}",3,5,245.79,173.82,2.71,0.948,0.96,0.85,
v5.2 FSRS-6 Full,silver,eager,540,1907,2032,2638,1.5828,1204.8,36,26,0.3,0,1,3,0,"{'تثبیت\u200cشده': 1839, 'یادگرفته\u200cشده': 68, 'آشنا': 111, 'در حال یادگیری': 14}",3,5,287.33,295.48,2.75,0.937,0.94,0.85,
v5.2 FSRS-6 Full,silver,eager,720,2507,2601,3367,2.0202,1241.0,38,29,0.3,0,1,3,0,"{'تثبیت\u200cشده': 2432, 'یادگرفته\u200cشده': 75, 'آشنا': 74, 'در حال یادگیری': 20}",3,5,349.99,433.42,2.81,0.935,0.93,0.85,
v5.2 FSRS-6 Full,silver,average,90,234,297,347,0.2082,1123.9,23,2,0.5,0,2,5,0,"{'تثبیت\u200cشده': 123, 'یادگرفته\u200cشده': 111, 'آشنا': 56, 'در حال یادگیری': 7}",3,5,61.19,51.68,3.42,0.94,0.95,0.85,
v5.2 FSRS-6 Full,silver,average,180,433,507,594,0.3564,1214.9,33,3,0.8,0,2,5,0,"{'تثبیت\u200cشده': 342, 'یادگرفته\u200cشده': 91, 'آشنا': 65, 'در حال یادگیری': 9}",3,5,92.73,98.09,3.52,0.929,0.93,0.85,
v5.2 FSRS-6 Full,silver,average,360,858,908,1098,0.6588,1302.4,41,6,0.8,0,2,5,0,"{'تثبیت\u200cشده': 759, 'یادگرفته\u200cشده': 99, 'آشنا': 43, 'در حال یادگیری': 7}",3,5,190.73,137.82,3.71,0.935,0.94,0.85,
v5.2 FSRS-6 Full,silver,average,540,1232,1310,1588,0.9528,1293.0,41,6,0.7,0,2,5,0,"{'تثبیت\u200cشده': 1138, 'یادگرفته\u200cشده': 94, 'آشنا': 68, 'در حال یادگیری': 10}",3,5,261.52,222.56,3.9,0.934,0.94,0.85,
v5.2 FSRS-6 Full,silver,average,720,1603,1655,2011,1.2066,1328.5,41,8,0.7,0,2,5,0,"{'تثبیت\u200cشده': 1526, 'یادگرفته\u200cشده': 77, 'آشنا': 40, 'در حال یادگیری': 12}",3,5,322.15,301.18,4.04,0.933,0.94,0.85,
v5.2 FSRS-6 Full,silver,fluctuating,90,200,267,316,0.1896,1054.9,27,3,0.7,0,2,4,0,"{'تثبیت\u200cشده': 104, 'یادگرفته\u200cشده': 96, 'آشنا': 57, 'در حال یادگیری': 10}",3,5,58.69,51.68,3.24,0.945,0.95,0.85,
v5.2 FSRS-6 Full,silver,fluctuating,180,406,457,557,0.3342,1214.8,41,3,1.2,0,4,8,0,"{'تثبیت\u200cشده': 319, 'یادگرفته\u200cشده': 87, 'آشنا': 44, 'در حال یادگیری': 7}",3,5,92.33,99.89,3.55,0.929,0.93,0.85,
v5.2 FSRS-6 Full,silver,fluctuating,360,752,796,964,0.5784,1300.1,52,5,1.4,1,4,10,0,"{'تثبیت\u200cشده': 677, 'یادگرفته\u200cشده': 75, 'آشنا': 30, 'در حال یادگیری': 14}",3,5,198.97,153.16,3.84,0.94,0.95,0.85,
v5.2 FSRS-6 Full,silver,fluctuating,540,1082,1142,1394,0.8364,1293.6,63,6,1.5,1,4,10,0,"{'تثبیت\u200cشده': 1001, 'یادگرفته\u200cشده': 81, 'آشنا': 54, 'در حال یادگیری': 6}",3,5,256.92,213.67,3.94,0.932,0.94,0.85,
v5.2 FSRS-6 Full,silver,fluctuating,720,1396,1426,1754,1.0524,1326.5,63,10,1.7,1,5,10,0,"{'تثبیت\u200cشده': 1313, 'یادگرفته\u200cشده': 83, 'آشنا': 30}",3,5,325.87,294.71,4.09,0.934,0.94,0.85,
v5.2 FSRS-6 Full,silver,lazy,90,103,135,145,0.087,1183.9,20,0,1.4,1,4,7,0,"{'یادگرفته\u200cشده': 69, 'تثبیت\u200cشده': 34, 'آشنا': 22, 'در حال یادگیری': 10}",3,5,45.88,42.87,4.85,0.938,0.95,0.85,
v5.2 FSRS-6 Full,silver,lazy,180,203,226,245,0.147,1381.0,26,2,2.0,1,5,12,0,"{'تثبیت\u200cشده': 135, 'یادگرفته\u200cشده': 68, 'آشنا': 21, 'در حال یادگیری': 2}",3,5,78.68,68.0,5.45,0.932,0.93,0.85,
v5.2 FSRS-6 Full,silver,lazy,360,383,410,453,0.2718,1409.1,43,2,2.4,1,7,14,0,"{'تثبیت\u200cشده': 329, 'یادگرفته\u200cشده': 54, 'آشنا': 25, 'در حال یادگیری': 2}",3,5,139.35,123.53,5.8,0.931,0.93,0.85,
v5.2 FSRS-6 Full,silver,lazy,540,549,574,638,0.3828,1434.2,43,2,2.5,2,6,14,0,"{'تثبیت\u200cشده': 489, 'یادگرفته\u200cشده': 60, 'آشنا': 14, 'در حال یادگیری': 11}",3,5,188.97,167.89,6.03,0.93,0.93,0.85,
v5.2 FSRS-6 Full,silver,lazy,720,681,711,796,0.4776,1425.9,49,2,2.8,2,7,17,0,"{'تثبیت\u200cشده': 641, 'یادگرفته\u200cشده': 40, 'آشنا': 27, 'در حال یادگیری': 3}",3,5,234.14,216.34,6.27,0.928,0.93,0.85,
v5.2 FSRS-6 Full,gold,eager,90,557,839,941,0.5646,986.5,36,8,0.2,0,1,2,0,"{'تثبیت\u200cشده': 440, 'یادگرفته\u200cشده': 117, 'آشنا': 264, 'در حال یادگیری': 18}",4,7,63.99,98.09,2.55,0.943,0.95,0.85,
v5.2 FSRS-6 Full,gold,eager,180,1285,1531,1715,1.029,1248.8,36,9,0.2,0,1,2,0,"{'تثبیت\u200cشده': 1177, 'یادگرفته\u200cشده': 108, 'آشنا': 193, 'در حال یادگیری': 53}",4,7,88.13,98.09,2.59,0.925,0.92,0.85,
v5.2 FSRS-6 Full,gold,eager,360,2375,2565,2939,1.7634,1346.8,76,25,0.3,0,1,3,0,"{'تثبیت\u200cشده': 2259, 'یادگرفته\u200cشده': 116, 'آشنا': 166, 'در حال یادگیری': 24}",4,7,245.13,178.23,2.74,0.943,0.96,0.85,
v5.2 FSRS-6 Full,gold,eager,540,3457,3680,4243,2.5458,1357.9,76,25,0.3,0,1,3,0,"{'تثبیت\u200cشده': 3354, 'یادگرفته\u200cشده': 103, 'آشنا': 195, 'در حال یادگیری': 28}",4,7,296.07,433.42,2.77,0.939,0.94,0.85,
v5.2 FSRS-6 Full,gold,eager,720,4505,4639,5422,3.2532,1384.8,76,25,0.3,0,1,5,0,"{'تثبیت\u200cشده': 4401, 'یادگرفته\u200cشده': 104, 'آشنا': 134}",4,7,355.79,433.42,2.81,0.932,0.93,0.85,
v5.2 FSRS-6 Full,gold,average,90,435,628,681,0.4086,1064.6,37,4,0.4,0,1,3,0,"{'تثبیت\u200cشده': 240, 'یادگرفته\u200cشده': 195, 'آشنا': 161, 'در حال یادگیری': 32}",4,7,57.53,48.06,3.2,0.938,0.95,0.85,
v5.2 FSRS-6 Full,gold,average,180,923,1034,1131,0.6786,1360.2,64,4,0.7,0,2,7,0,"{'تثبیت\u200cشده': 744, 'یادگرفته\u200cشده': 179, 'آشنا': 60, 'در حال یادگیری': 51}",4,7,92.57,98.09,3.46,0.93,0.93,0.85,
v5.2 FSRS-6 Full,gold,average,360,1747,1814,2013,1.2078,1446.4,69,7,0.7,0,2,7,0,"{'تثبیت\u200cشده': 1538, 'یادگرفته\u200cشده': 209, 'آشنا': 66, 'در حال یادگیری': 1}",4,7,198.55,153.16,3.84,0.938,0.95,0.85,
v5.2 FSRS-6 Full,gold,average,540,2419,2534,2817,1.6902,1431.2,110,7,0.9,1,2,7,0,"{'تثبیت\u200cشده': 2257, 'یادگرفته\u200cشده': 162, 'آشنا': 101, 'در حال یادگیری': 14}",4,7,267.26,238.66,3.99,0.936,0.94,0.85,
v5.2 FSRS-6 Full,gold,average,720,3155,3261,3634,2.1804,1447.0,110,7,0.9,1,2,7,0,"{'تثبیت\u200cشده': 2995, 'یادگرفته\u200cشده': 160, 'آشنا': 81, 'در حال یادگیری': 25}",4,7,320.03,298.73,4.08,0.933,0.94,0.85,
v5.2 FSRS-6 Full,gold,fluctuating,90,404,528,564,0.3384,1193.9,111,4,1.7,0,6,8,0,"{'یادگرفته\u200cشده': 167, 'تثبیت\u200cشده': 237, 'آشنا': 87, 'در حال یادگیری': 37}",4,7,62.08,54.56,3.25,0.949,0.95,0.85,
v5.2 FSRS-6 Full,gold,fluctuating,180,710,898,963,0.5778,1228.8,122,4,2.1,1,6,12,0,"{'تثبیت\u200cشده': 577, 'یادگرفته\u200cشده': 133, 'آشنا': 144, 'در حال یادگیری': 44}",4,7,85.98,85.3,3.45,0.92,0.92,0.85,
v5.2 FSRS-6 Full,gold,fluctuating,360,1474,1560,1714,1.0284,1433.3,122,5,1.9,1,5,12,0,"{'تثبیت\u200cشده': 1295, 'یادگرفته\u200cشده': 179, 'آشنا': 86}",4,7,184.64,149.11,3.79,0.932,0.94,0.85,
v5.2 FSRS-6 Full,gold,fluctuating,540,2091,2151,2399,1.4394,1452.7,122,7,1.9,1,5,12,0,"{'تثبیت\u200cشده': 1945, 'یادگرفته\u200cشده': 146, 'آشنا': 30, 'در حال یادگیری': 30}",4,7,268.77,227.24,3.98,0.934,0.94,0.85,
v5.2 FSRS-6 Full,gold,fluctuating,720,2659,2706,3016,1.8096,1469.4,122,10,2.0,1,5,12,0,"{'تثبیت\u200cشده': 2523, 'یادگرفته\u200cشده': 136, 'آشنا': 47}",4,7,333.89,295.48,4.11,0.936,0.94,0.85,
v5.2 FSRS-6 Full,gold,lazy,90,208,276,290,0.174,1195.4,47,1,1.8,1,4,9,0,"{'تثبیت\u200cشده': 79, 'یادگرفته\u200cشده': 129, 'آشنا': 42, 'در حال یادگیری': 26}",4,7,48.68,44.95,4.78,0.929,0.95,0.85,
